LATITUDE,LONGITUDE,STATE,CITY,NAME,OBJECTID,ID,ADDRESS,ZIP,TELEPHONE,TYPE,STATUS,COUNTY,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,ALT_NAME,OWNER,BEDS,TRAUMA,HELIPAD
42.82052642,-108.7267754,WY,LANDER,SAGEWEST LANDER,5928,1182520,1320 BISHOP RANDEL DRIVE,82520,(307) 332-4420,GENERAL ACUTE CARE,OPEN,FREMONT,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.sagewesthealthcare.com/,LANDER REGIONAL HOSPITAL,PROPRIETARY,89,ATH,Y
44.28988265,-105.5174792,WY,GILLETTE,CAMPBELL COUNTY MEMORIAL HOSPITAL,5944,3682716,501 SOUTH BURMA AVENUE,82716,(307) 688-1000,GENERAL ACUTE CARE,OPEN,CAMPBELL,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,www.ccmh.net,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,90,ATH,Y
45.46151003,-98.47851235,SD,ABERDEEN,AVERA SAINT LUKES HOSPITAL,6755,657401,305 SOUTH STATE STREET,57401,(605) 622-5000,GENERAL ACUTE CARE,OPEN,BROWN,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.avera.org/st-lukes-hospital/,NOT AVAILABLE,NON-PROFIT,109,ATH,Y
42.87325455,-97.40819102,SD,YANKTON,AVERA SACRED HEART HOSPITAL,6768,5857078,501 SUMMIT STREET,57078,(605) 668-8000,GENERAL ACUTE CARE,OPEN,YANKTON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.averasacredheart.com,NOT AVAILABLE,NON-PROFIT,99,ATH,Y
42.84079505,-106.2259985,WY,CASPER,MOUNTAIN VIEW REGIONAL HOSPITAL,5940,3482609,6550 EAST 2ND STREET,82609,(307) 995-8100,GENERAL ACUTE CARE,OPEN,NATRONA,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://mountainviewregionalhospital.com,NOT AVAILABLE,PROPRIETARY,23,CTF,N
43.03466095,-108.4187232,WY,RIVERTON,SAGEWEST HEALTH CARE,2317,1382501,2100 WEST SUNSET DRIVE,82501,(307) 856-4161,GENERAL ACUTE CARE,OPEN,FREMONT,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.sagewesthealthcare.com/,NOT AVAILABLE,PROPRIETARY,159,CTH,Y
44.7569224,-108.771768,WY,POWELL,POWELL VALLEY HOSPITAL,2322,2382435,777 AVENUE H,82435,(307) 754-1107,CRITICAL ACCESS,OPEN,PARK,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.pvhc.org,NOT AVAILABLE,NON-PROFIT,25,CTH,Y
48.53807731,-109.6858178,MT,HAVRE,NORTHERN MONTANA HOSPITAL,276,5759501,30 13TH ST,59501,(406) 265-2211,GENERAL ACUTE CARE,OPEN,HILL,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.nmhcare.org,NOT AVAILABLE,NON-PROFIT,49,CTH,N
48.38027696,-114.3313438,MT,WHITEFISH,NORTH VALLEY HOSPITAL,646,4059937,1600 HOSPITAL WAY,59937,(406) 863-3500,CRITICAL ACCESS,OPEN,FLATHEAD,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,www.nvhosp.org,NOT AVAILABLE,NON-PROFIT,25,CTH,Y
43.36992976,-99.84729509,SD,WINNER,WINNER REGIONAL HEALTHCARE CENTER,3057,5457580,745 EAST 8TH STREET,57580,(605) 842-7100,CRITICAL ACCESS,OPEN,TRIPP,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.winnerregional.org,NOT AVAILABLE,NON-PROFIT,25,CTH,Y
47.05859421,-109.443954,MT,LEWISTOWN,CENTRAL MONTANA MEDICAL CENTER,3495,2659457,408 WENDELL AVE,59457,(406) 535-7711,CRITICAL ACCESS,OPEN,FERGUS,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.cmmccares.com,NOT AVAILABLE,NON-PROFIT,90,CTH,Y
46.84737836,-114.0478795,MT,MISSOULA,COMMUNITY MEDICAL CENTER INC,3505,6059804,2827 FORT MISSOULA RD,59804,(406) 728-4100,GENERAL ACUTE CARE,OPEN,MISSOULA,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.communitymed.org,NOT AVAILABLE,NON-PROFIT,151,CTH,Y
45.67515288,-110.5267903,MT,LIVINGSTON,LIVINGSTON HEALTHCARE,3508,7059047,320 ALPENGLOW LANE,59047,(406) 222-3541,CRITICAL ACCESS,OPEN,PARK,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.livingstonhealthcare.org/,NOT AVAILABLE,NON-PROFIT,25,CTH,Y
44.36153118,-98.21105963,SD,HURON,HURON REGIONAL MEDICAL CENTER,4317,457350,172 FOURTH STREET SOUTHEAST,57350,(605) 353-6200,CRITICAL ACCESS,OPEN,BEADLE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.huronregional.org,NOT AVAILABLE,NON-PROFIT,25,CTH,N
42.71732992,-110.9304375,WY,AFTON,STAR VALLEY MEDICAL CENTER,4326,4183110,901 ADAMS STREET,83110,(307) 885-5800,CRITICAL ACCESS,OPEN,LINCOLN,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.svmcwy.org,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,22,CTH,Y
46.13269218,-112.9569287,MT,ANACONDA,COMMUNITY HOSPITAL OF ANACONDA,5706,159711,401 W PENNSYLVANIA AVE,59711,(406) 563-8500,CRITICAL ACCESS,OPEN,DEER LODGE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.communityhospitalofanaconda.org,NOT AVAILABLE,NON-PROFIT,87,CTH,Y
47.46847267,-114.8881884,MT,PLAINS,CLARK FORK VALLEY HOSPITAL,5716,3059859,10 KRUGER RD,59859,(406) 826-4800,CRITICAL ACCESS,OPEN,SANDERS,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dphhs.mt.gov/qad/healthcarefacilitieslist,http://www.cfvh.org,NOT AVAILABLE,NON-PROFIT,44,CTH,Y
43.64801527,-108.199256,WY,THERMOPOLIS,HOT SPRINGS COUNTY MEMORIAL HOSPITAL,5924,382443,150 EAST ARAPAHOE,82443,(307) 864-3121,CRITICAL ACCESS,OPEN,HOT SPRINGS,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.hscmh.org,NOT AVAILABLE,GOVERNMENT - LOCAL,25,CTH,N
41.31235565,-105.5563126,WY,LARAMIE,IVINSON MEMORIAL HOSPITAL,5929,1282072,255 NORTH 30TH STREET,82072,(307) 742-2141,GENERAL ACUTE CARE,OPEN,ALBANY,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.ivinsonhospital.org,ALBANY COUNTY HOSPITAL DISTRICT,GOVERNMENT - DISTRICT/AUTHORITY,99,CTH,Y
41.78688584,-107.2621487,WY,RAWLINS,MEMORIAL HOSPITAL OF CARBON COUNTY,5936,2482301,2221 WEST ELM STREET,82301,(307) 324-2221,CRITICAL ACCESS,OPEN,CARBON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.imhcc.com,NOT AVAILABLE,GOVERNMENT - LOCAL,25,CTH,Y
44.01272297,-107.9494109,WY,WORLAND,WASHAKIE MEDICAL CENTER,5939,2882401,400 SOUTH 15TH STREET,82401,(307) 347-3221,CRITICAL ACCESS,OPEN,WASHAKIE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.washakiemedicalcenter.com,NOT AVAILABLE,NON-PROFIT,18,CTH,Y
41.24334827,-110.9904981,WY,EVANSTON,EVANSTON REGIONAL HOSPITAL,5941,3582930,190 ARROWHEAD DRIVE,82930,(307) 789-3636,GENERAL ACUTE CARE,OPEN,UINTA,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.evanstonregionalhospital.com,NOT AVAILABLE,PROPRIETARY,42,CTH,Y
44.49806367,-103.8606446,SD,SPEARFISH,SPEARFISH REGIONAL HOSPITAL,6191,2957783,1440 NORTH MAIN STREET,57783,(605) 644-4000,GENERAL ACUTE CARE,OPEN,LAWRENCE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.regionalhealth.com,NOT AVAILABLE,NON-PROFIT,44,CTH,Y
42.75906617,-105.3807097,WY,DOUGLAS,MEMORIAL HOSPITAL OF CONVERSE COUNTY,6477,1882633,111 SOUTH 5TH STREET,82633,(307) 358-2122,CRITICAL ACCESS,OPEN,CONVERSE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://www.conversehospital.com,NOT AVAILABLE,GOVERNMENT - LOCAL,25,CTH,N
45.54621696,-100.4489605,SD,MOBRIDGE,MOBRIDGE REGIONAL HOSPITAL AND CLINIC,6574,5757601,1401 10TH AVENUE WEST,57601,(605) 845-3692,CRITICAL ACCESS,OPEN,WALWORTH,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.mobridgehospital.org,NOT AVAILABLE,NON-PROFIT,25,CTH,Y
44.35980422,-100.3426267,SD,PIERRE,AVERA ST MARY'S HOSPITAL,6759,2257501,801 EAST SIOUX AVENUE,57501,(605) 224-3100,GENERAL ACUTE CARE,OPEN,HUGHES,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.avera.org/locations/st-marys/,NOT AVAILABLE,NON-PROFIT,50,CTH,N
45.46302526,-98.44608444,SD,ABERDEEN,SANFORD ABERDEEN MEDICAL CENTER,6761,7757401,2905 3RD AVE SE,57401,(605) 626-4200,GENERAL ACUTE CARE,OPEN,BROWN,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.sanfordaberdeen.org/,NOT AVAILABLE,NON-PROFIT,48,CTH,Y
43.71434228,-98.0080208,SD,MITCHELL,AVERA QUEEN OF PEACE HOSPITAL,6769,1257301,525 NORTH FOSTER STREET,57301,(605) 995-2000,GENERAL ACUTE CARE,OPEN,DAVISON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.averaqueenofpeace.org,NOT AVAILABLE,NON-PROFIT,67,CTH,Y
44.91097461,-97.12123734,SD,WATERTOWN,PRAIRIE LAKES HOSPITAL,6773,1057201,401 9TH AVENUE NORTHWEST,57201,(605) 882-7000,GENERAL ACUTE CARE,OPEN,CODINGTON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.prairielakes.com,NOT AVAILABLE,NON-PROFIT,81,CTH,N
39.68748604,-75.66912143,DE,NEWARK,CHRISTIANA CARE-CHRISTIANA HOSPITAL,3851,719713,4755 OGLETOWN STANTON RD,19713,(302) 733-1000,GENERAL ACUTE CARE,OPEN,NEW CASTLE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.christianacare.org/ChristianaHospital,CHRISTIANA,NON-PROFIT,913,LEVEL 1,Y
39.77938092,-75.55532113,DE,WILMINGTON,ALFRED I. DUPONT HOSPITAL FOR CHILDREN,3848,619803,1600 ROCKLAND RD,19803,(302) 651-4000,GENERAL ACUTE CARE,OPEN,NEW CASTLE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.nemours.org/about/location/nchaidhc.html,ALFRED I. DUPONT,NON-PROFIT,200,LEVEL 1 PEDIATRIC,Y
38.64168815,-75.60448633,DE,SEAFORD,NANTICOKE MEMORIAL HOSPITAL,634,1019973,801 MIDDLEFORD RD,19973,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,SUSSEX,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.nanticoke.org/,NANTICOKE MEMORIAL,NON-PROFIT,139,LEVEL 3,Y
38.90704797,-75.4329078,DE,MILFORD,BAYHEALTH MILFORD MEMORIAL HOSPITAL,3850,119963,21 W CLARK AVE,19963,(302) 422-3311,GENERAL ACUTE CARE,OPEN,SUSSEX,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.bayhealth.org/milford-memorial-hospital/BayhealthContentPage.aspx?nd=946,MILFORD MEMORIAL,NON-PROFIT,127,LEVEL 3,Y
39.7514639,-75.5496618,DE,WILMINGTON,CHRISTIANA CARE-WILMINGTON HOSPITAL,3852,519801,501 W 14TH ST,19801,(302) 320-2229,GENERAL ACUTE CARE,OPEN,NEW CASTLE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.christianacare.org/homepage.cfm,WILMINGTON,NON-PROFIT,241,LEVEL 3,Y
39.1507908,-75.52369592,DE,DOVER,BAYHEALTH KENT GENERAL HOSPITAL,3853,219901,640 S STATE ST,19901,(302) 674-4700,GENERAL ACUTE CARE,OPEN,KENT,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.bayhealth.org/Home/Facilities/tabid/57/tabid/90/default.aspx,KENT GENERAL,NON-PROFIT,236,LEVEL 3,Y
38.77176047,-75.14326767,DE,LEWES,BEEBE MEDICAL CENTER,4324,919958,424 SAVANNAH RD,19958,(302) 645-3300,GENERAL ACUTE CARE,OPEN,SUSSEX,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.beebemed.org/index.cfm,BEEBE,NON-PROFIT,210,LEVEL 3,Y
39.74986894,-75.56687351,DE,WILMINGTON,ST. FRANCIS HOSPITAL,4325,819805,701 N CLAYTON ST,19805,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,NEW CASTLE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.stfrancishealthcare.org,ST. FRANCIS,NON-PROFIT,224,LEVEL 3,N
37.14494625,-93.27967732,MO,SPRINGFIELD,COX MEDICAL CENTERS SOUTH HOSPITAL,1109,1865807,3801 SOUTH NATIONAL AVENUE,65807,(417) 269-6000,GENERAL ACUTE CARE,OPEN,GREENE,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://health.mo.gov/safety/healthservregs/directories.php,http://www.coxhealth.com/body.cfm?id=1344,LESTER E. COX SOUTH MEDICAL CENTER,NON-PROFIT,86,LEVEL I,Y
39.00889984,-94.55812509,MO,KANSAS CITY,RESEARCH MEDICAL CENTER,1115,6664132,2316 EAST MEYER BOULEVARD,64132,(816) 276-4000,GENERAL ACUTE CARE,OPEN,JACKSON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://health.mo.gov/safety/healthservregs/directories.php,http://researchmedicalcenter.com/,NOT AVAILABLE,PROPRIETARY,487,LEVEL I,Y
39.04743362,-94.59019592,MO,KANSAS CITY,ST. LUKE'S HOSPITAL OF KANSAS CITY,1117,7264111,4401 WORNALL ROAD,64111,(816) 932-2000,GENERAL ACUTE CARE,OPEN,JACKSON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://health.mo.gov/safety/healthservregs/directories.php,https://www.saintlukeskc.org/locations/saint-lukes-hospital-kansas-city?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link,NOT AVAILABLE,NON-PROFIT,564,LEVEL I,Y
38.79360505,-90.57961531,MO,ST. PETERS,BARNES-JEWISH ST. PETERS HOSPITAL,1143,11963376,10 HOSPITAL DRIVE,63376,(636) 916-9000,GENERAL ACUTE CARE,OPEN,ST. CHARLES,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://health.mo.gov/safety/healthservregs/directories.php,http://www.bjsph.org/,NOT AVAILABLE,NON-PROFIT,113,LEVEL I,Y
26.75587114,-80.06246203,FL,WEST PALM BEACH,ST MARY'S MEDICAL CENTER,1236,39133407,901 45TH ST,33407,(561) 844-6300,GENERAL ACUTE CARE,OPEN,PALM BEACH,USA,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.stmarysmc.com,NOT AVAILABLE,PROPRIETARY,460,LEVEL I,Y
33.50404815,-86.80515914,AL,BIRMINGHAM,CHILDREN'S HOSPITAL OF ALABAMA,1275,735233,"1600 SEVENTH AVENUE, SOUTH",35233,(205) 638-9100,CHILDREN,OPEN,JEFFERSON,USA,622110,"CHILDREN'S HOSPITALS, GENERAL",http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.childrensal.org,NOT AVAILABLE,NON-PROFIT,332,LEVEL I,Y
33.50560329,-86.8020354,AL,BIRMINGHAM,UNIVERSITY OF ALABAMA HOSPITAL,1278,11935233,619 SOUTH 19TH STREET,35233,(205) 934-4444,GENERAL ACUTE CARE,OPEN,JEFFERSON,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.health.uab.edu,NOT AVAILABLE,GOVERNMENT - STATE,1157,LEVEL I,Y
41.50614205,-81.60509543,OH,CLEVELAND,UNIVERSITY HOSPITALS OF CLEVELAND,1318,1744106,11100 EUCLID AVENUE,44106,(216) 844-1000,GENERAL ACUTE CARE,OPEN,CUYAHOGA,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.uhhospitals.org/cleveland,NOT AVAILABLE,NON-PROFIT,1032,LEVEL I,Y
38.63567447,-90.26471606,MO,ST. LOUIS,BARNES-JEWISH HOSPITAL,1474,14563110,ONE BARNES-JEWISH HOSPITAL PLAZA,63110,(314) 747-3000,GENERAL ACUTE CARE,OPEN,ST. LOUIS CITY,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://health.mo.gov/safety/healthservregs/directories.php,http://www.barnesjewish.org,NOT AVAILABLE,NON-PROFIT,1110,LEVEL I,Y
37.69499303,-97.29790346,KS,WICHITA,WESLEY MEDICAL CENTER,1495,15367214,550 N HILLSIDE ST,67214,(316) 962-2000,GENERAL ACUTE CARE,OPEN,SEDGWICK,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.kdheks.gov/bhfr/fac_list/,http://www.wesleymc.com,WESLEY MEDICAL CENTER LLC,PROPRIETARY,595,LEVEL I,Y
37.69989945,-97.33227815,KS,WICHITA,VIA CHRISTI HOSPITALS WICHITA INC,1554,14667214,929 NORTH ST FRANCIS STREET,67214,(316) 268-5000,REHABILITATION,OPEN,SEDGWICK,USA,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.kdheks.gov/bhfr/fac_list/,http://www.via-christi.org,VIA CHRISTI HOSPITALS WICHITA INC,NON-PROFIT,58,LEVEL I,Y
29.71455117,-95.39628203,TX,HOUSTON,MEMORIAL HERMANN HOSPITAL,1556,25577030,6411 FANNIN STREET,77030,(713) 704-4000,GENERAL ACUTE CARE,OPEN,HARRIS,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.mhhs.org,NOT AVAILABLE,NON-PROFIT,1082,LEVEL I,Y
31.77161109,-106.4353552,TX,EL PASO,UNIVERSITY MEDICAL CENTER OF EL PASO,1592,17879998,4815 ALAMEDA AVENUE,79998,(915) 544-1200,GENERAL ACUTE CARE,OPEN,EL PASO,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.thomasoncares.org,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,394,LEVEL I,Y
32.72708003,-97.32710128,TX,FORT WORTH,JOHN PETER SMITH HOSPITAL,1597,20076104,1500 SOUTH MAIN STREET,76104,(817) 921-3431,GENERAL ACUTE CARE,OPEN,TARRANT,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.jpshealthnet.org/About-JPS/locations/jps-hospital.aspx,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,567,LEVEL I,Y
29.70777848,-95.40165263,TX,HOUSTON,TEXAS CHILDREN'S HOSPITAL,1605,25877030,6621 FANNIN STREET,77030,(832) 824-1000,GENERAL ACUTE CARE,OPEN,HARRIS,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.texaschildrenshospital.org,NOT AVAILABLE,NON-PROFIT,621,LEVEL I,Y
29.71098236,-95.3945517,TX,HOUSTON,HARRIS HEALTH SYSTEM BEN TAUB GENERAL HOSPITAL,1606,26777030,1504 TAUB LOOP,77030,(713) 566-6874,GENERAL ACUTE CARE,OPEN,HARRIS,USA,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,https://www.harrishealth.org/en/services/locations/pages/ben-taub.aspx,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,458,LEVEL I,Y
